concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
		"ICDO3"		"X"	"9512/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9513/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9514/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9520/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9521/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9522/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9523/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9530/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9530/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9530/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9531/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9532/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9533/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9534/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9535/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9537/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9538/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9538/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9539/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8361/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8370/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8370/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8371/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8372/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8373/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9680/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9684/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9687/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9689/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9690/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9691/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9695/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9698/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9699/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9700/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9701/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9702/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9705/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9708/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9709/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9714/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9716/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9717/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9718/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9719/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8374/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8375/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8380/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8380/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8380/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8381/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8381/1"	"2015-09-18"		"X"
