concept_code_1	concept_code_2	vocabulary_id_1	vocabulary_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
"8246/3-C53.9"	"722683006"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9691/3-C42.4"	"702977001"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9691/3-C49.9"	"702977001"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8380/3-C55.9"	"762458004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9700/3-C42.0"	"188627002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9700/3-C42.3"	"188627002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8940/0-C44.9"	"254720009"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9718/3-C44.9"	"128875000"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8140/3-C18.1"	"413445002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8070/3-C32.9"	"405822008"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9530/0-C70.9"	"724171006"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9700/3-C42.4"	"188627002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9731/3-C41.9"	"426336007"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8002/3-C61.9"	"396198006"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8070/3-C15.9"	"276804009"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8510/3-C64.9"	"765095002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9740/3-C77.0"	"188662007"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9740/3-C77.9"	"397011009"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9964/3-C42.0"	"188733003"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9964/3-C42.1"	"188733003"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9964/3-C42.3"	"188733003"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9964/3-C42.4"	"188733003"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9982/3-C42.0"	"1260217004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9982/3-C42.1"	"1260217004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9982/3-C42.4"	"1260217004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8010/9-C80.9"	"307593001"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8010/9-NULL"	"307593001"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
