"concept_code_1","concept_code_2","relationship_id"
"50-2850","50","item of schema"
"50-2860","50","item of schema"
"50-2880","50","item of schema"
"50-2890","50","item of schema"
"50-2900","50","item of schema"
"50-2910","50","item of schema"
"50-2861","50","item of schema"
"50-2864","50","item of schema"
"50-2865","50","item of schema"
"50-2866","50","item of schema"
"65-400","65","item of schema"
"65-522","65","item of schema"
"65-390","65","item of schema"
"65-2935","65","item of schema"
"65-523","65","item of schema"
"65-440","65","item of schema"
"65-230","65","item of schema"
"65-1182","65","item of schema"
"65-2800","65","item of schema"
"65-2810","65","item of schema"
"65-2820","65","item of schema"
"65-2830","65","item of schema"
"65-2840","65","item of schema"
"65-820","65","item of schema"
"65-830","65","item of schema"
"65-2850","65","item of schema"
"65-2860","65","item of schema"
"65-2866","65","item of schema"
"65-2867","65","item of schema"
"65-2868","65","item of schema"
"65-2879","65","item of schema"
"61-400","61","item of schema"
"61-522","61","item of schema"
"61-390","61","item of schema"
"61-2935","61","item of schema"
"61-523","61","item of schema"
"61-440","61","item of schema"
"61-230","61","item of schema"
"61-1182","61","item of schema"
"61-2800","61","item of schema"
"61-2810","61","item of schema"
"61-2820","61","item of schema"
"61-2830","61","item of schema"
"61-2840","61","item of schema"
"61-820","61","item of schema"
"61-830","61","item of schema"
"61-2850","61","item of schema"
"61-2860","61","item of schema"
"61-2880","61","item of schema"
"61-2890","61","item of schema"
"61-2900","61","item of schema"
"61-2864","61","item of schema"
"61-2865","61","item of schema"
"61-2866","61","item of schema"
"63-400","63","item of schema"
"63-522","63","item of schema"
"63-390","63","item of schema"
"63-2935","63","item of schema"
"63-523","63","item of schema"
"63-440","63","item of schema"
"63-230","63","item of schema"
"63-1182","63","item of schema"
"63-2800","63","item of schema"
"63-2810","63","item of schema"
"63-2820","63","item of schema"
"63-2830","63","item of schema"
"63-2840","63","item of schema"
"63-820","63","item of schema"
"63-830","63","item of schema"
"63-2850","63","item of schema"
"63-2860","63","item of schema"
"63-2864","63","item of schema"
"63-2865","63","item of schema"
"63-2866","63","item of schema"
"63-2867","63","item of schema"
"63-2868","63","item of schema"
"63-2879","63","item of schema"
"68-400","68","item of schema"
"68-522","68","item of schema"
"68-390","68","item of schema"
"68-2935","68","item of schema"
"68-523","68","item of schema"
"68-440","68","item of schema"
"68-230","68","item of schema"
"68-1182","68","item of schema"
"68-2800","68","item of schema"
"68-2810","68","item of schema"
"68-2820","68","item of schema"
"68-2830","68","item of schema"
"68-2840","68","item of schema"
"68-820","68","item of schema"
"68-830","68","item of schema"
"68-2850","68","item of schema"
"68-2860","68","item of schema"
"128-400","128","item of schema"
"128-522","128","item of schema"
"128-390","128","item of schema"
"128-2935","128","item of schema"
"128-523","128","item of schema"
"128-440","128","item of schema"
"128-230","128","item of schema"
"128-1182","128","item of schema"
"128-2800","128","item of schema"
"128-2810","128","item of schema"
"128-2820","128","item of schema"
"128-2830","128","item of schema"
"128-2840","128","item of schema"
"128-820","128","item of schema"
"128-830","128","item of schema"
"128-2850","128","item of schema"
"128-2860","128","item of schema"
"128-2880","128","item of schema"
"128-2890","128","item of schema"
